Bus, BasekV, Node1, Magnitude1, Angle1, pu1, Node2, Magnitude2, Angle2, pu2, Node3, Magnitude3, Angle3, pu3
"SOURCEBUS", 12, 1,    6928.35,    0.0,         1, 2,    6928.36, -120.0,         1, 3,    6928.32,  120.0,         1
"0355", 12, 1,    6928.47,    0.0,         1, 2,     6928.5, -120.0,         1, 3,    6928.43,  120.0,         1
"03551", 12, 1,    6928.48,    0.0,         1, 2,     6928.5, -120.0,         1, 3,    6928.43,  120.0,         1
"03552", 12, 1,    6928.48,    0.0,         1, 2,     6928.5, -120.0,         1, 3,    6928.43,  120.0,         1
"035510", 12, 1,    6928.53,    0.0,         1, 2,    6928.56, -120.0,    1.0001, 3,    6928.47,  120.0,         1
"035511", 12, 1,    6928.53,    0.0,         1, 2,    6928.56, -120.0,    1.0001, 3,    6928.48,  120.0,         1
"035510A", 12, 1,    6928.53,    0.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"03551001", 12, 1,    6928.53,    0.0,         1, 0, 0, 0, 0, 0, 0, 0, 0
"035512", 12, 1,    6928.53,    0.0,         1, 2,    6928.56, -120.0,    1.0001, 3,    6928.48,  120.0,         1
"03551201", 12, 1,    6928.53,    0.0,         1, 2,    6928.56, -120.0,    1.0001, 3,    6928.48,  120.0,         1
"035513", 12, 1,    6928.54,    0.0,         1, 2,    6928.57, -120.0,    1.0001, 3,    6928.49,  120.0,         1
"03551202", 12, 1,    6928.53,    0.0,         1, 2,    6928.56, -120.0,    1.0001, 3,    6928.48,  120.0,         1
"03551306", 12, 1,    6928.54,    0.0,         1, 2,    6928.58, -120.0,    1.0001, 3,    6928.49,  120.0,         1
"03551394", 12, 2,    6928.58, -120.0,    1.0001, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"035514", 12, 1,    6928.55,    0.0,    1.0001, 2,    6928.58, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551301", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551305", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551301A", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551302", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551303", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551304", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551392", 12, 1,    6928.54,    0.0,         1, 3,    6928.49,  120.0,         1, 0, 0, 0, 0
"03551306A", 12, 1,    6928.54,    0.0,         1, 2,    6928.58, -120.0,    1.0001, 3,    6928.49,  120.0,         1
"03551307", 12, 1,    6928.55,    0.0,         1, 2,    6928.58, -120.0,    1.0001, 3,    6928.49,  120.0,         1
"03551308", 12, 1,    6928.55,    0.0,         1, 2,    6928.58, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551314", 12, 1,    6928.55,    0.0,         1, 2,    6928.58, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551308A", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551309", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551313", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551310", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551311", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551312", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551315", 12, 1,    6928.55,    0.0,         1, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551367", 12, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551316", 12, 1,    6928.55,    0.0,         1, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551317", 12, 1,    6928.55,    0.0,         1, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551318", 12, 1,    6928.55,    0.0,         1, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551319", 12, 1,    6928.55,    0.0,         1, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551365", 12, 1,    6928.55,    0.0,         1, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
"03551320", 12, 1,    6928.55,    0.0,    1.0001, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551321", 12, 1,    6928.55,    0.0,    1.0001, 2,    6928.59, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551322", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551323", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551324", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1
"03551326", 12, 1,    6928.55,    0.0,    1.0001, 2,     6928.6, -120.0,    1.0001, 0, 0, 0, 0
"03551348", 12, 2,     6928.6, -120.0,    1.0001, 3,     6928.5,  120.0,         1, 0, 0, 0, 0
