System Y Matrix (Lower Triangle by Columns)

  Row  Col               G               B

[   1,   1] =   0.253166889 + j -3.425841171
[   2,   1] = -0.06577948197 + j 0.3480538245
[   3,   1] = -0.06577948197 + j 0.3480538245
[   4,   1] = -0.1130096736 + j  1.977669288
[   2,   2] =   0.253166889 + j -3.425841171
[   3,   2] = -0.06577948197 + j 0.3480538245
[   5,   2] = -0.1130096736 + j  1.977669288
[   3,   3] =   0.253166889 + j -3.425841171
[   6,   3] = -0.1130096736 + j  1.977669288
[   4,   4] =   13.11573774 + j -60.18712378
[   5,   4] =  -4.064712837 + j  15.92120394
[   6,   4] =  -4.064712837 + j  15.92120394
[   7,   4] =  -13.00272806 + j  58.20945446
[   8,   4] =   4.064712837 + j -15.92120394
[   9,   4] =   4.064712837 + j -15.92120394
[   5,   5] =   13.11573774 + j -60.18712378
[   6,   5] =  -4.064712837 + j  15.92120394
[   7,   5] =   4.064712837 + j -15.92120394
[   8,   5] =  -13.00272806 + j  58.20945446
[   9,   5] =   4.064712837 + j -15.92120394
[   6,   6] =   13.11573774 + j -60.18712378
[   7,   6] =   4.064712837 + j -15.92120394
[   8,   6] =   4.064712837 + j -15.92120394
[   9,   6] =  -13.00272806 + j  58.20945446
[   7,   7] =   34.05296273 + j -152.4452694
[   8,   7] =   -10.6451134 + j  41.69618573
[   9,   7] =   -10.6451134 + j  41.69618573
[  10,   7] =  -21.05023467 + j  94.23581501
[  11,   7] =   6.580400564 + j -25.77498179
[  12,   7] =   6.580400564 + j -25.77498179
[   8,   8] =   34.05296273 + j -152.4452694
[   9,   8] =   -10.6451134 + j  41.69618573
[  10,   8] =   6.580400564 + j -25.77498179
[  11,   8] =  -21.05023467 + j  94.23581501
[  12,   8] =   6.580400564 + j -25.77498179
[   9,   9] =   34.05296273 + j -152.4452694
[  10,   9] =   6.580400564 + j -25.77498179
[  11,   9] =   6.580400564 + j -25.77498179
[  12,   9] =  -21.05023467 + j  94.23581501
[  10,  10] =    165.770598 + j -742.1070431
[  11,  10] =  -51.82065444 + j  202.9779816
[  12,  10] =  -51.82065444 + j  202.9779816
[ 707,  10] =  -144.7203633 + j  647.8712282
[ 708,  10] =   45.24025388 + j -177.2029998
[ 709,  10] =   45.24025388 + j -177.2029998
[  11,  11] =    165.770598 + j -742.1070431
[  12,  11] =  -51.82065444 + j  202.9779816
[ 707,  11] =   45.24025388 + j -177.2029998
[ 708,  11] =  -144.7203633 + j  647.8712282
[ 709,  11] =   45.24025388 + j -177.2029998
[  12,  12] =    165.770598 + j -742.1070431
